1110100 - Hammer-Head - 1 - 500 - 250 - hpp,66; 
1230604 - SkimmerGUN(+4) - 47 - 48000 - 12000 - attmin,24; attmax,33; 
1210605 - SkimmerMIS(+5) - 48 - 84000 - 21000 - hpp,391; evade,177; 
1220605 - SkimmerBST(+5) - 48 - 112000 - 28000 - atttransmin,68; atttransmax,126; speed,152; 
1230605 - SkimmerGUN(+5) - 48 - 53000 - 13250 - attmin,24; attmax,33; 
1210700 - Cyblade - 58 - 110000 - 55000 - hpp,456; 
1220700 - Cyblade - 58 - 130000 - 65000 - atttransmin,78; atttransmax,147; 
1230700 - Cyblade - 58 - 80000 - 40000 - attmin,27; attmax,37; 
1210701 - CybladeMIS(+1) - 54 - 75000 - 18750 - hpp,456; evade,113; 
1220701 - CybladeBST(+1) - 54 - 97000 - 24250 - atttransmin,78; atttransmax,147; speed,93; 
1230701 - CybladeGUN(+1) - 54 - 45000 - 11250 - attmin,27; attmax,37; 
1210702 - CybladeMIS(+2) - 55 - 77000 - 19250 - hpp,456; evade,125; 
1220702 - CybladeBST(+2) - 55 - 100000 - 25000 - atttransmin,78; atttransmax,147; speed,105; 
1230702 - CybladeGUN(+2) - 55 - 47000 - 11750 - attmin,27; attmax,37; 
1210703 - CybladeMIS(+3) - 56 - 82000 - 20500 - hpp,456; evade,155; 
1220703 - CybladeBST(+3) - 56 - 110000 - 27500 - atttransmin,78; atttransmax,147; speed,135; 
1230703 - CybladeGUN(+3) - 56 - 51000 - 12750 - attmin,27; attmax,37; 
1210704 - CybladeMIS(+4) - 57 - 90000 - 22500 - hpp,456; evade,178; 
1220704 - CybladeBST(+4) - 57 - 121000 - 30250 - atttransmin,78; atttransmax,147; speed,155; 
1230704 - CybladeGUN(+4) - 57 - 56000 - 14000 - attmin,27; attmax,37; 
1210705 - CybladeMIS(+5) - 58 - 99000 - 24750 - hpp,456; evade,196; 
1220705 - CybladeBST(+5) - 58 - 133000 - 33250 - atttransmin,78; atttransmax,147; speed,171; 
1230705 - CybladeGUN(+5) - 58 - 62000 - 15500 - attmin,27; attmax,37; 
1210800 - Trilicor - 68 - 210000 - 105000 - hpp,521; 
1220800 - Trilicor - 68 - 247000 - 123500 - atttransmin,88; atttransmax,168; 
1230800 - Trilicor - 68 - 152000 - 76000 - attmin,30; attmax,41; 
1210801 - TrilicorMIS(+1) - 64 - 86000 - 21500 - hpp,521; evade,128; 
1220801 - TrilicorBST(+1) - 64 - 112000 - 28000 - atttransmin,88; atttransmax,168; speed,108; 
1230801 - TrilicorGUN(+1) - 64 - 51000 - 12750 - attmin,30; attmax,41; 
1210802 - TrilicorMIS(+2) - 65 - 88000 - 22000 - hpp,521; evade,140; 
1220802 - TrilicorBST(+2) - 65 - 116000 - 29000 - atttransmin,88; atttransmax,168; speed,120; 
1230802 - TrilicorGUN(+2) - 65 - 53000 - 13250 - attmin,30; attmax,41; 
1210803 - TrilicorMIS(+3) - 66 - 93000 - 23250 - hpp,521; evade,170; 
1220803 - TrilicorBST(+3) - 66 - 125000 - 31250 - atttransmin,88; atttransmax,168; speed,150; 
1230803 - TrilicorGUN(+3) - 66 - 56000 - 14000 - attmin,30; attmax,41; 
1210804 - TrilicorMIS(+4) - 67 - 102000 - 25500 - hpp,521; evade,196; 
1220804 - TrilicorBST(+4) - 67 - 138000 - 34500 - atttransmin,88; atttransmax,168; speed,173; 
1230804 - TrilicorGUN(+4) - 67 - 62000 - 15500 - attmin,30; attmax,41; 
1210805 - TrilicorMIS(+5) - 68 - 112000 - 28000 - hpp,521; evade,215; 
1220805 - TrilicorBST(+5) - 68 - 152000 - 38000 - atttransmin,88; atttransmax,168; speed,190; 
1230805 - TrilicorGUN(+5) - 68 - 68000 - 17000 - attmin,30; attmax,41; 
1210900 - Kilohawk - 78 - 315000 - 157500 - hpp,586; 
1220900 - Kilohawk - 78 - 370000 - 185000 - atttransmin,98; atttransmax,189; 
1230900 - Kilohawk - 78 - 228000 - 114000 - attmin,33; attmax,45; 
1210901 - KilohawkMIS(+1) - 74 - 101000 - 25250 - hpp,586; evade,143; 
1220901 - KilohawkBST(+1) - 74 - 131000 - 32750 - atttransmin,98; atttransmax,189; speed,123; 
1230901 - KilohawkGUN(+1) - 74 - 59000 - 14750 - attmin,33; attmax,45; 
1210902 - KilohawkMIS(+2) - 75 - 103000 - 25750 - hpp,586; evade,155; 
1220902 - KilohawkBST(+2) - 75 - 135000 - 33750 - atttransmin,98; atttransmax,189; speed,135; 
1230902 - KilohawkGUN(+2) - 75 - 61000 - 15250 - attmin,33; attmax,45; 
1210903 - KilohawkMIS(+3) - 76 - 108000 - 27000 - hpp,586; evade,185; 
1220903 - KilohawkBST(+3) - 76 - 145000 - 36250 - atttransmin,98; atttransmax,189; speed,165; 
1230903 - KilohawkGUN(+3) - 76 - 64000 - 16000 - attmin,33; attmax,45; 
1210904 - KilohawkMIS(+4) - 77 - 119000 - 29750 - hpp,586; evade,213; 
1220904 - KilohawkBST(+4) - 77 - 160000 - 40000 - atttransmin,98; atttransmax,189; speed,190; 
1230904 - KilohawkGUN(+4) - 77 - 70000 - 17500 - attmin,33; attmax,45; 
1210905 - KilohawkMIS(+5) - 78 - 131000 - 32750 - hpp,586; evade,234; 
1220905 - KilohawkBST(+5) - 78 - 176000 - 44000 - atttransmin,98; atttransmax,189; speed,209; 
1230905 - KilohawkGUN(+5) - 78 - 77000 - 19250 - attmin,33; attmax,45; 
1211000 - Sabercron - 88 - 472500 - 236250 - hpp,651; 
1221000 - Sabercron - 88 - 555000 - 277500 - atttransmin,108; atttransmax,210; 
1231000 - Sabercron - 88 - 342000 - 171000 - attmin,36; attmax,49; 
1211001 - SabercronMIS(+1) - 84 - 118000 - 29500 - hpp,651; evade,158; 
1221001 - SabercronBST(+1) - 84 - 155000 - 38750 - atttransmin,108; atttransmax,210; speed,138; 
1231001 - SabercronGUN(+1) - 84 - 69000 - 17250 - attmin,36; attmax,49; 
1211002 - SabercronMIS(+2) - 85 - 121000 - 30250 - hpp,651; evade,170; 
1221002 - SabercronBST(+2) - 85 - 159000 - 39750 - atttransmin,108; atttransmax,210; speed,150; 
1231002 - SabercronGUN(+2) - 85 - 70000 - 17500 - attmin,36; attmax,49; 
1211003 - SabercronMIS(+3) - 86 - 126000 - 31500 - hpp,651; evade,200; 
1221003 - SabercronBST(+3) - 86 - 169000 - 42250 - atttransmin,108; atttransmax,210; speed,180; 
1231003 - SabercronGUN(+3) - 86 - 74000 - 18500 - attmin,36; attmax,49; 
1211004 - SabercronMIS(+4) - 87 - 139000 - 34750 - hpp,651; evade,230; 
1221004 - SabercronBST(+4) - 87 - 186000 - 46500 - atttransmin,108; atttransmax,210; speed,207; 
1231004 - SabercronGUN(+4) - 87 - 81000 - 20250 - attmin,36; attmax,49; 
1211005 - SabercronMIS(+5) - 88 - 153000 - 38250 - hpp,651; evade,253; 
1221005 - SabercronBST(+5) - 88 - 205000 - 51250 - atttransmin,108; atttransmax,210; speed,228; 
1231005 - SabercronGUN(+5) - 88 - 89000 - 22250 - attmin,36; attmax,49; 
1211100 - Bladium - 98 - 722500 - 361250 - hpp,730; 
1221100 - Bladium - 98 - 855000 - 427500 - atttransmin,130; atttransmax,280; 
1231100 - Bladium - 98 - 612000 - 306000 - attmin,45; attmax,58; 
1211101 - BladiumMIS(+1) - 94 - 144000 - 36000 - hpp,730; evade,200; 
1221101 - BladiumBST(+1) - 94 - 208000 - 52000 - atttransmin,130; atttransmax,280; speed,170; 
1231101 - BladiumGUN(+1) - 94 - 89000 - 22250 - attmin,45; attmax,58; 
1211102 - BladiumMIS(+2) - 95 - 152000 - 38000 - hpp,730; evade,240; 
1221102 - BladiumBST(+2) - 95 - 222000 - 55500 - atttransmin,130; atttransmax,280; speed,210; 
1231102 - BladiumGUN(+2) - 95 - 94000 - 23500 - attmin,45; attmax,58; 
1211103 - BladiumMIS(+3) - 96 - 159000 - 39750 - hpp,730; evade,280; 
1221103 - BladiumBST(+3) - 96 - 236000 - 59000 - atttransmin,130; atttransmax,280; speed,250; 
1231103 - BladiumGUN(+3) - 96 - 98000 - 24500 - attmin,45; attmax,58; 
1211104 - BladiumMIS(+4) - 97 - 175000 - 43750 - hpp,730; evade,322; 
1221104 - BladiumBST(+4) - 97 - 260000 - 65000 - atttransmin,130; atttransmax,280; speed,288; 
1231104 - BladiumGUN(+4) - 97 - 108000 - 27000 - attmin,45; attmax,58; 
1211105 - BladiumMIS(+5) - 98 - 193000 - 48250 - hpp,730; evade,354; 
1221105 - BladiumBST(+5) - 98 - 286000 - 71500 - atttransmin,130; atttransmax,280; speed,316; 
1231105 - BladiumGUN(+5) - 98 - 119000 - 29750 - attmin,45; attmax,58; 
1211400 - SurgeMark - 1 - 100 - 100 - hpp,196; 
1211200 - SantaHelmet - 1 - 100 - 100 - hpp,196; 
1310100 - Mohawk - 1 - 500 - 0 - 
1320100 - Mohawk - 1 - 700 - 350 - atttransmin,18; atttransmax,21; 
1330100 - Mohawk - 1 - 400 - 200 - attmin,9; attmax,13; 
1310101 - MohawkSP(+1) - 1 - 600 - 150 - hpp,66; spectrans,9; 
1320101 - MohawkMX(+1) - 1 - 900 - 225 - atttransmin,18; atttransmax,21; 
1330101 - MohawkTG(+1) - 1 - 700 - 175 - attmin,9; attmax,13; transgauge,17; 
1310102 - MohawkSP(+2) - 1 - 800 - 200 - hpp,66; spectrans,23; 
1320102 - MohawkMX(+2) - 1 - 1200 - 300 - atttransmin,18; atttransmax,21; 
1330102 - MohawkTG(+2) - 1 - 800 - 200 - attmin,9; attmax,13; transgauge,43; 
1310103 - MohawkSP(+3) - 1 - 1300 - 325 - hpp,66; spectrans,58; 
1320103 - MohawkMX(+3) - 1 - 1900 - 475 - atttransmin,18; atttransmax,21; 
1330103 - MohawkTG(+3) - 1 - 1000 - 250 - attmin,9; attmax,13; transgauge,108; 
1310104 - MohawkSP(+4) - 1 - 1400 - 350 - hpp,66; spectrans,66; 
1320104 - MohawkMX(+4) - 1 - 2100 - 525 - atttransmin,18; atttransmax,21; 
1330104 - MohawkTG(+4) - 1 - 1100 - 275 - attmin,9; attmax,13; transgauge,124; 
1310105 - MohawkSP(+5) - 1 - 1500 - 375 - hpp,66; spectrans,73; 
1320105 - MohawkMX(+5) - 1 - 2300 - 575 - atttransmin,18; atttransmax,21; 
1330105 - MohawkTG(+5) - 1 - 1200 - 300 - attmin,9; attmax,13; transgauge,136; 
1310200 - Davey-Croc - 8 - 2200 - 1100 - hpp,131; 
1320200 - Davey-Croc - 8 - 2900 - 1450 - atttransmin,28; atttransmax,42; 
1330200 - Davey-Croc - 8 - 2000 - 1000 - attmin,12; attmax,17; 
1310201 - Davey-CrocSP(+1) - 4 - 1400 - 350 - hpp,131; spectrans,26; 
1320201 - Davey-CrocMX(+1) - 4 - 1800 - 450 - atttransmin,28; atttransmax,42; 
1330201 - Davey-CrocTG(+1) - 4 - 1100 - 275 - attmin,12; attmax,17; transgauge,49; 
1310202 - Davey-CrocSP(+2) - 5 - 1500 - 375 - hpp,131; spectrans,40; 
1320202 - Davey-CrocMX(+2) - 5 - 2100 - 525 - atttransmin,28; atttransmax,42; 
1330202 - Davey-CrocTG(+2) - 5 - 1100 - 275 - attmin,12; attmax,17; transgauge,75; 
1310203 - Davey-CrocSP(+3) - 6 - 2000 - 500 - hpp,131; spectrans,75; 
1320203 - Davey-CrocMX(+3) - 6 - 2800 - 700 - atttransmin,28; atttransmax,42; 
1330203 - Davey-CrocTG(+3) - 6 - 1300 - 325 - attmin,12; attmax,17; transgauge,140; 
1310204 - Davey-CrocSP(+4) - 7 - 2200 - 550 - hpp,131; spectrans,86; 
1320204 - Davey-CrocMX(+4) - 7 - 3100 - 775 - atttransmin,28; atttransmax,42; 
1330204 - Davey-CrocTG(+4) - 7 - 1400 - 350 - attmin,12; attmax,17; transgauge,161; 
1310205 - Davey-CrocSP(+5) - 8 - 2400 - 600 - hpp,131; spectrans,95; 
1320205 - Davey-CrocMX(+5) - 8 - 3400 - 850 - atttransmin,28; atttransmax,42; 
1330205 - Davey-CrocTG(+5) - 8 - 1500 - 375 - attmin,12; attmax,17; transgauge,177; 
1310300 - Solar-Buster - 18 - 8300 - 4150 - hpp,196; 
1320300 - Solar-Buster - 18 - 10000 - 5000 - atttransmin,38; atttransmax,63; 
1330300 - Solar-Buster - 18 - 6300 - 3150 - attmin,15; attmax,21; 
1310301 - Solar-BusterSP(+1) - 14 - 5900 - 1475 - hpp,196; spectrans,44; 
1320301 - Solar-BusterMX(+1) - 14 - 7800 - 1950 - atttransmin,38; atttransmax,63; 
1330301 - Solar-BusterTG(+1) - 14 - 3900 - 975 - attmin,15; attmax,21; transgauge,82; 
1310302 - Solar-BusterSP(+2) - 15 - 8600 - 2150 - hpp,196; spectrans,58; 
1320302 - Solar-BusterMX(+2) - 15 - 12000 - 3000 - atttransmin,38; atttransmax,63; 
1330302 - Solar-BusterTG(+2) - 15 - 5600 - 1400 - attmin,15; attmax,21; transgauge,108; 
1310303 - Solar-BusterSP(+3) - 16 - 13000 - 3250 - hpp,196; spectrans,93; 
1320303 - Solar-BusterMX(+3) - 16 - 18000 - 4500 - atttransmin,38; atttransmax,63; 
1330303 - Solar-BusterTG(+3) - 16 - 8000 - 2000 - attmin,15; attmax,21; transgauge,173; 
1310304 - Solar-BusterSP(+4) - 17 - 14000 - 3500 - hpp,196; spectrans,106; 
1320304 - Solar-BusterMX(+4) - 17 - 20000 - 5000 - atttransmin,38; atttransmax,63; 
1330304 - Solar-BusterTG(+4) - 17 - 9000 - 2250 - attmin,15; attmax,21; transgauge,198; 
1310305 - Solar-BusterSP(+5) - 18 - 15000 - 3750 - hpp,196; spectrans,117; 
1320305 - Solar-BusterMX(+5) - 18 - 22000 - 5500 - atttransmin,38; atttransmax,63; 
1330305 - Solar-BusterTG(+5) - 18 - 10000 - 2500 - attmin,15; attmax,21; transgauge,218; 
1310400 - Dusk-Runner - 28 - 20000 - 10000 - hpp,261; 
1320400 - Dusk-Runner - 28 - 25000 - 12500 - atttransmin,48; atttransmax,84; 
1330400 - Dusk-Runner - 28 - 14000 - 7000 - attmin,18; attmax,25; 
1310401 - Dusk-RunnerSP(+1) - 24 - 18000 - 4500 - hpp,261; spectrans,61; 
1320401 - Dusk-RunnerMX(+1) - 24 - 24000 - 6000 - atttransmin,48; atttransmax,84; 
1330401 - Dusk-RunnerTG(+1) - 24 - 11000 - 2750 - attmin,18; attmax,25; transgauge,114; 
1310402 - Dusk-RunnerSP(+2) - 25 - 23000 - 5750 - hpp,261; spectrans,75; 
1320402 - Dusk-RunnerMX(+2) - 25 - 30000 - 7500 - atttransmin,48; atttransmax,84; 
1330402 - Dusk-RunnerTG(+2) - 25 - 13000 - 3250 - attmin,18; attmax,25; transgauge,140; 
1310403 - Dusk-RunnerSP(+3) - 26 - 29000 - 7250 - hpp,261; spectrans,110; 
1320403 - Dusk-RunnerMX(+3) - 26 - 40000 - 10000 - atttransmin,48; atttransmax,84; 
1330403 - Dusk-RunnerTG(+3) - 26 - 17000 - 4250 - attmin,18; attmax,25; transgauge,205; 
1310404 - Dusk-RunnerSP(+4) - 27 - 32000 - 8000 - hpp,261; spectrans,127; 
1320404 - Dusk-RunnerMX(+4) - 27 - 44000 - 11000 - atttransmin,48; atttransmax,84; 
1330404 - Dusk-RunnerTG(+4) - 27 - 19000 - 4750 - attmin,18; attmax,25; transgauge,236; 
1310405 - Dusk-RunnerSP(+5) - 28 - 35000 - 8750 - hpp,261; spectrans,139; 
1320405 - Dusk-RunnerMX(+5) - 28 - 48000 - 12000 - atttransmin,48; atttransmax,84; 
1330405 - Dusk-RunnerTG(+5) - 28 - 21000 - 5250 - attmin,18; attmax,25; transgauge,259; 
1310500 - Synapse - 38 - 80000 - 40000 - hpp,326; 
1320500 - Synapse - 38 - 91000 - 45500 - atttransmin,58; atttransmax,105; 
1330500 - Synapse - 38 - 57000 - 28500 - attmin,21; attmax,29; 
1310501 - SynapseSP(+1) - 34 - 41000 - 10250 - hpp,326; spectrans,79; 
1320501 - SynapseMX(+1) - 34 - 55000 - 13750 - atttransmin,58; atttransmax,105; 
1330501 - SynapseTG(+1) - 34 - 24000 - 6000 - attmin,21; attmax,29; transgauge,147; 
1310502 - SynapseSP(+2) - 35 - 47000 - 11750 - hpp,326; spectrans,93; 
1320502 - SynapseMX(+2) - 35 - 63000 - 15750 - atttransmin,58; atttransmax,105; 
1330502 - SynapseTG(+2) - 35 - 27000 - 6750 - attmin,21; attmax,29; transgauge,173; 
1310503 - SynapseSP(+3) - 36 - 58000 - 14500 - hpp,326; spectrans,128; 
1320503 - SynapseMX(+3) - 36 - 78000 - 19500 - atttransmin,58; atttransmax,105; 
1330503 - SynapseTG(+3) - 36 - 31000 - 7750 - attmin,21; attmax,29; transgauge,238; 
1310504 - SynapseSP(+4) - 37 - 64000 - 16000 - hpp,326; spectrans,147; 
1320504 - SynapseMX(+4) - 37 - 86000 - 21500 - atttransmin,58; atttransmax,105; 
1330504 - SynapseTG(+4) - 37 - 34000 - 8500 - attmin,21; attmax,29; transgauge,273; 
1310505 - SynapseSP(+5) - 38 - 70000 - 17500 - hpp,326; spectrans,161; 
1320505 - SynapseMX(+5) - 38 - 95000 - 23750 - atttransmin,58; atttransmax,105; 
1330505 - SynapseTG(+5) - 38 - 37000 - 9250 - attmin,21; attmax,29; transgauge,300; 
1310600 - SpikeEMT - 48 - 98000 - 49000 - hpp,391; 
1320600 - SpikeEMT - 48 - 102000 - 51000 - atttransmin,68; atttransmax,126; 
1330600 - SpikeEMT - 48 - 75000 - 37500 - attmin,24; attmax,33; 
1310601 - SpikeEMTSP(+1) - 44 - 66000 - 16500 - hpp,391; spectrans,96; 
1320601 - SpikeEMTMX(+1) - 44 - 87000 - 21750 - atttransmin,68; atttransmax,126; 
1330601 - SpikeEMTTG(+1) - 44 - 36000 - 9000 - attmin,24; attmax,33; transgauge,179; 
1310602 - SpikeEMTSP(+2) - 45 - 70000 - 17500 - hpp,391; spectrans,110; 
1320602 - SpikeEMTMX(+2) - 45 - 92000 - 23000 - atttransmin,68; atttransmax,126; 
1330602 - SpikeEMTTG(+2) - 45 - 38000 - 9500 - attmin,24; attmax,33; transgauge,205; 
1310603 - SpikeEMTSP(+3) - 46 - 77000 - 19250 - hpp,391; spectrans,145; 
1320603 - SpikeEMTMX(+3) - 46 - 104000 - 26000 - atttransmin,68; atttransmax,126; 
1330603 - SpikeEMTTG(+3) - 46 - 41000 - 10250 - attmin,24; attmax,33; transgauge,270; 
1310604 - SpikeEMTSP(+4) - 47 - 85000 - 21250 - hpp,391; spectrans,167; 
1320604 - SpikeEMTMX(+4) - 47 - 114000 - 28500 - atttransmin,68; atttransmax,126; 
1330604 - SpikeEMTTG(+4) - 47 - 45000 - 11250 - attmin,24; attmax,33; transgauge,311; 
1310605 - SpikeEMTSP(+5) - 48 - 94000 - 23500 - hpp,391; spectrans,183; 
1320605 - SpikeEMTMX(+5) - 48 - 125000 - 31250 - atttransmin,68; atttransmax,126; 
1330605 - SpikeEMTTG(+5) - 48 - 50000 - 12500 - attmin,24; attmax,33; transgauge,342; 
1310700 - Neg-Volt - 58 - 110000 - 55000 - hpp,456; 
1320700 - Neg-Volt - 58 - 130000 - 65000 - atttransmin,78; atttransmax,147; 
1330700 - Neg-Volt - 58 - 80000 - 40000 - attmin,27; attmax,37; 
1310701 - Neg-VoltSP(+1) - 54 - 81000 - 20250 - hpp,456; spectrans,114; 
1320701 - Neg-VoltMX(+1) - 54 - 105000 - 26250 - atttransmin,78; atttransmax,147; 
1330701 - Neg-VoltTG(+1) - 54 - 43000 - 10750 - attmin,27; attmax,37; transgauge,212; 
1310702 - Neg-VoltSP(+2) - 55 - 84000 - 21000 - hpp,456; spectrans,128; 
1320702 - Neg-VoltMX(+2) - 55 - 110000 - 27500 - atttransmin,78; atttransmax,147; 
1330702 - Neg-VoltTG(+2) - 55 - 44000 - 11000 - attmin,27; attmax,37; transgauge,238; 
1310703 - Neg-VoltSP(+3) - 56 - 92000 - 23000 - hpp,456; spectrans,163; 
1320703 - Neg-VoltMX(+3) - 56 - 122000 - 30500 - atttransmin,78; atttransmax,147; 
1330703 - Neg-VoltTG(+3) - 56 - 47000 - 11750 - attmin,27; attmax,37; transgauge,303; 
1310704 - Neg-VoltSP(+4) - 57 - 101000 - 25250 - hpp,456; spectrans,187; 
1320704 - Neg-VoltMX(+4) - 57 - 134000 - 33500 - atttransmin,78; atttransmax,147; 
1330704 - Neg-VoltTG(+4) - 57 - 52000 - 13000 - attmin,27; attmax,37; transgauge,348; 
1310705 - Neg-VoltSP(+5) - 58 - 111000 - 27750 - hpp,456; spectrans,206; 
1320705 - Neg-VoltMX(+5) - 58 - 147000 - 36750 - atttransmin,78; atttransmax,147; 
1330705 - Neg-VoltTG(+5) - 58 - 57000 - 14250 - attmin,27; attmax,37; transgauge,383; 
1310800 - Scritter - 68 - 210000 - 105000 - hpp,521; 
1320800 - Scritter - 68 - 247000 - 123500 - atttransmin,88; atttransmax,168; 
1330800 - Scritter - 68 - 152000 - 76000 - attmin,30; attmax,41; 
1310801 - ScritterSP(+1) - 64 - 94000 - 23500 - hpp,521; spectrans,131; 
1320801 - ScritterMX(+1) - 64 - 122000 - 30500 - atttransmin,88; atttransmax,168; 
1330801 - ScritterTG(+1) - 64 - 48000 - 12000 - attmin,30; attmax,41; transgauge,244; 
1310802 - ScritterSP(+2) - 65 - 97000 - 24250 - hpp,521; spectrans,145; 
1320802 - ScritterMX(+2) - 65 - 127000 - 31750 - atttransmin,88; atttransmax,168; 
1330802 - ScritterTG(+2) - 65 - 50000 - 12500 - attmin,30; attmax,41; transgauge,270; 
1310803 - ScritterSP(+3) - 66 - 104000 - 26000 - hpp,521; spectrans,180; 
1320803 - ScritterMX(+3) - 66 - 138000 - 34500 - atttransmin,88; atttransmax,168; 
1330803 - ScritterTG(+3) - 66 - 53000 - 13250 - attmin,30; attmax,41; transgauge,335; 
1310804 - ScritterSP(+4) - 67 - 114000 - 28500 - hpp,521; spectrans,207; 
1320804 - ScritterMX(+4) - 67 - 152000 - 38000 - atttransmin,88; atttransmax,168; 
1330804 - ScritterTG(+4) - 67 - 58000 - 14500 - attmin,30; attmax,41; transgauge,385; 
1310805 - ScritterSP(+5) - 68 - 125000 - 31250 - hpp,521; spectrans,228; 
1320805 - ScritterMX(+5) - 68 - 167000 - 41750 - atttransmin,88; atttransmax,168; 
1330805 - ScritterTG(+5) - 68 - 64000 - 16000 - attmin,30; attmax,41; transgauge,424; 
1310900 - Frost-Grapper - 78 - 315000 - 157500 - hpp,586; 
1320900 - Frost-Grapper - 78 - 370000 - 185000 - atttransmin,98; atttransmax,189; 
1330900 - Frost-Grapper - 78 - 228000 - 114000 - attmin,33; attmax,45; 
1310901 - Frost-GrapperSP(+1) - 74 - 110000 - 27500 - hpp,586; spectrans,149; 
1320901 - Frost-GrapperMX(+1) - 74 - 143000 - 35750 - atttransmin,98; atttransmax,189; 
1330901 - Frost-GrapperTG(+1) - 74 - 56000 - 14000 - attmin,33; attmax,45; transgauge,277; 
1310902 - Frost-GrapperSP(+2) - 75 - 113000 - 28250 - hpp,586; spectrans,163; 
1320902 - Frost-GrapperMX(+2) - 75 - 148000 - 37000 - atttransmin,98; atttransmax,189; 
1330902 - Frost-GrapperTG(+2) - 75 - 57000 - 14250 - attmin,33; attmax,45; transgauge,303; 
1310903 - Frost-GrapperSP(+3) - 76 - 121000 - 30250 - hpp,586; spectrans,198; 
1320903 - Frost-GrapperMX(+3) - 76 - 160000 - 40000 - atttransmin,98; atttransmax,189; 
1330903 - Frost-GrapperTG(+3) - 76 - 60000 - 15000 - attmin,33; attmax,45; transgauge,368; 
1310904 - Frost-GrapperSP(+4) - 77 - 133000 - 33250 - hpp,586; spectrans,227; 
1320904 - Frost-GrapperMX(+4) - 77 - 176000 - 44000 - atttransmin,98; atttransmax,189; 
1330904 - Frost-GrapperTG(+4) - 77 - 66000 - 16500 - attmin,33; attmax,45; transgauge,423; 
1310905 - Frost-GrapperSP(+5) - 78 - 146000 - 36500 - hpp,586; spectrans,250; 
1320905 - Frost-GrapperMX(+5) - 78 - 194000 - 48500 - atttransmin,98; atttransmax,189; 
1330905 - Frost-GrapperTG(+5) - 78 - 73000 - 18250 - attmin,33; attmax,45; transgauge,465; 
1311000 - Plasma-Dasher - 88 - 472500 - 236250 - hpp,651; 
1321000 - Plasma-Dasher - 88 - 555000 - 277500 - atttransmin,108; atttransmax,210; 
1331000 - Plasma-Dasher - 88 - 342000 - 171000 - attmin,36; attmax,49; 
1311001 - Plasma-DasherSP(+1) - 84 - 130000 - 32500 - hpp,651; spectrans,166; 
1321001 - Plasma-DasherMX(+1) - 84 - 169000 - 42250 - atttransmin,108; atttransmax,210; 
1331001 - Plasma-DasherTG(+1) - 84 - 65000 - 16250 - attmin,36; attmax,49; transgauge,309; 
1311002 - Plasma-DasherSP(+2) - 85 - 133000 - 33250 - hpp,651; spectrans,180; 
1321002 - Plasma-DasherMX(+2) - 85 - 174000 - 43500 - atttransmin,108; atttransmax,210; 
1331002 - Plasma-DasherTG(+2) - 85 - 66000 - 16500 - attmin,36; attmax,49; transgauge,335; 
1311003 - Plasma-DasherSP(+3) - 86 - 141000 - 35250 - hpp,651; spectrans,215; 
1321003 - Plasma-DasherMX(+3) - 86 - 186000 - 46500 - atttransmin,108; atttransmax,210; 
1331003 - Plasma-DasherTG(+3) - 86 - 70000 - 17500 - attmin,36; attmax,49; transgauge,400; 
1311004 - Plasma-DasherSP(+4) - 87 - 155000 - 38750 - hpp,651; spectrans,247; 
1321004 - Plasma-DasherMX(+4) - 87 - 205000 - 51250 - atttransmin,108; atttransmax,210; 
1331004 - Plasma-DasherTG(+4) - 87 - 77000 - 19250 - attmin,36; attmax,49; transgauge,460; 
1311005 - Plasma-DasherSP(+5) - 88 - 171000 - 42750 - hpp,651; spectrans,272; 
1321005 - Plasma-DasherMX(+5) - 88 - 226000 - 56500 - atttransmin,108; atttransmax,210; 
1331005 - Plasma-DasherTG(+5) - 88 - 85000 - 21250 - attmin,36; attmax,49; transgauge,506; 
1311100 - Illuminum - 98 - 722500 - 361250 - hpp,740; 
1321100 - Illuminum - 98 - 855000 - 427500 - atttransmin,150; atttransmax,270; 
1331100 - Illuminum - 98 - 612000 - 306000 - attmin,51; attmax,60; 
1311101 - IlluminumSP(+1) - 94 - 163000 - 40750 - hpp,740; spectrans,220; 
1321101 - IlluminumMX(+1) - 94 - 218000 - 54500 - atttransmin,150; atttransmax,270; 
1331101 - IlluminumTG(+1) - 94 - 88000 - 22000 - attmin,51; attmax,60; transgauge,380; 
1311102 - IlluminumSP(+2) - 95 - 178000 - 44500 - hpp,740; spectrans,280; 
1321102 - IlluminumMX(+2) - 95 - 235000 - 58750 - atttransmin,150; atttransmax,270; 
1331102 - IlluminumTG(+2) - 95 - 92000 - 23000 - attmin,51; attmax,60; transgauge,450; 
1311103 - IlluminumSP(+3) - 96 - 186000 - 46500 - hpp,740; spectrans,310; 
1321103 - IlluminumMX(+3) - 96 - 247000 - 61750 - atttransmin,150; atttransmax,270; 
1331103 - IlluminumTG(+3) - 96 - 96000 - 24000 - attmin,51; attmax,60; transgauge,520; 
1311104 - IlluminumSP(+4) - 97 - 205000 - 51250 - hpp,740; spectrans,357; 
1321104 - IlluminumMX(+4) - 97 - 272000 - 68000 - atttransmin,150; atttransmax,270; 
1331104 - IlluminumTG(+4) - 97 - 106000 - 26500 - attmin,51; attmax,60; transgauge,598; 
1311105 - IlluminumSP(+5) - 98 - 226000 - 56500 - hpp,740; spectrans,392; 
1321105 - IlluminumMX(+5) - 98 - 299000 - 74750 - atttransmin,150; atttransmax,270; 
